date,hours
2025-07-28,0.74
2025-07-29,0.13
2025-07-30,1.78
2025-07-31,3.09
2025-08-01,0.49
2025-08-02,1.91
2025-08-03,2.44
2025-08-04,2.34
2025-08-05,2.15
2025-08-06,2.84
2025-08-07,2.46
2025-08-08,1.45
2025-08-09,0.13
2025-08-10,3.78
2025-08-11,0.0
2025-08-12,1.56
2025-08-13,1.91
2025-08-14,0.82
2025-08-15,1.76
2025-08-16,1.45
2025-08-17,2.54
2025-08-18,0.0
2025-08-19,1.66
2025-08-20,3.36
2025-08-21,2.01
2025-08-22,2.09
2025-08-23,1.49
2025-08-24,1.96
2025-08-25,1.32
2025-08-26,1.48
2025-08-27,1.56
2025-08-28,2.34
2025-08-29,2.91
2025-08-30,1.56
2025-08-31,2.02
2025-09-01,3.03
2025-09-02,2.63
2025-09-03,2.28
2025-09-04,2.33
2025-09-05,1.17
2025-09-06,2.87
2025-09-07,0.54
2025-09-08,1.27
2025-09-09,2.7
2025-09-10,1.01
2025-09-11,0.0
2025-09-12,2.34
2025-09-13,1.18
2025-09-14,0.61
2025-09-15,2.06
2025-09-16,3.64
2025-09-17,2.37
2025-09-18,1.93
2025-09-19,0.0
2025-09-20,2.15
2025-09-21,1.3
2025-09-22,2.77
2025-09-23,0.43
2025-09-24,1.5
2025-09-25,0.27
2025-09-26,1.86
2025-09-27,3.86
2025-09-28,2.42
2025-09-29,0.13
2025-09-30,0.9
2025-10-01,1.45
2025-10-02,1.17
2025-10-03,3.73
2025-10-04,0.8
2025-10-05,3.43
2025-10-06,1.31
2025-10-07,2.2
2025-10-08,2.36
2025-10-09,2.24
2025-10-10,3.86
2025-10-11,0.16
2025-10-12,2.51
2025-10-13,2.19
2025-10-14,1.31
2025-10-15,1.54
2025-10-16,2.34
2025-10-17,2.03
2025-10-18,2.67
2025-10-19,1.07
2025-10-20,1.7
2025-10-21,0.61
2025-10-22,1.7
2025-10-23,1.47
2025-10-24,0.7
2025-10-25,1.93
2025-10-26,0.8
2025-10-27,1.72
2025-10-28,0.69
2025-10-29,1.61
2025-10-30,1.13
2025-10-31,0.71
2025-11-01,3.15
2025-11-02,1.47
2025-11-03,2.65
2025-11-04,1.16
2025-11-05,1.98
2025-11-06,1.38
2025-11-07,3.38
2025-11-08,1.44
2025-11-09,2.92
2025-11-10,1.82
2025-11-11,0.58
2025-11-12,2.45
2025-11-13,2.57
2025-11-14,0.24
2025-11-15,1.43
2025-11-16,0.0
2025-11-17,1.11
2025-11-18,2.06
2025-11-19,1.77
2025-11-20,2.04
2025-11-21,0.56
2025-11-22,1.82
2025-11-23,1.29
2025-11-24,1.01
2025-11-25,2.64
2025-11-26,1.91
2025-11-27,2.61
2025-11-28,3.14
2025-11-29,2.07
2025-11-30,2.78
2025-12-01,1.22
2025-12-02,3.31
2025-12-03,2.82
2025-12-04,2.03
2025-12-05,1.51
2025-12-06,1.04
2025-12-07,3.25
2025-12-08,1.53
2025-12-09,0.77
2025-12-10,2.49
2025-12-11,3.13
2025-12-12,1.03
2025-12-13,1.41
2025-12-14,2.6
2025-12-15,0.34
2025-12-16,1.9
2025-12-17,1.65
2025-12-18,1.68
2025-12-19,0.95
2025-12-20,1.14
2025-12-21,0.73
2025-12-22,1.44
2025-12-23,1.19
2025-12-24,0.0
2025-12-25,2.98
2025-12-26,3.45
2025-12-27,0.68
2025-12-28,1.7
2025-12-29,0.04
2025-12-30,0.43
2025-12-31,0.0
2026-01-01,1.81
2026-01-02,2.35
2026-01-03,2.65
2026-01-04,1.66
2026-01-05,1.4
2026-01-06,2.25
2026-01-07,2.04
2026-01-08,1.79
2026-01-09,1.27
2026-01-10,0.49
2026-01-11,2.5
2026-01-12,0.75
2026-01-13,2.09
2026-01-14,0.27
2026-01-15,1.69
2026-01-16,2.31
2026-01-17,1.65
2026-01-18,0.72
2026-01-19,2.76
2026-01-20,1.37
2026-01-21,1.87
2026-01-22,1.34
2026-01-23,0.7
2026-01-24,3.42
