date,intake,goal
2025-07-28,2064,2400
2025-07-29,2435,2400
2025-07-30,2464,2400
2025-07-31,2673,2400
2025-08-01,2319,2400
2025-08-02,2177,2400
2025-08-03,2091,2400
2025-08-04,2086,2400
2025-08-05,2258,2400
2025-08-06,2004,2400
2025-08-07,2489,2400
2025-08-08,1966,2400
2025-08-09,2071,2400
2025-08-10,2423,2400
2025-08-11,2149,2400
2025-08-12,2398,2400
2025-08-13,2066,2400
2025-08-14,2811,2400
2025-08-15,2313,2400
2025-08-16,2653,2400
2025-08-17,2144,2400
2025-08-18,2517,2400
2025-08-19,2767,2400
2025-08-20,2441,2400
2025-08-21,2421,2400
2025-08-22,2097,2400
2025-08-23,2472,2400
2025-08-24,2128,2400
2025-08-25,2120,2400
2025-08-26,2364,2400
2025-08-27,2294,2400
2025-08-28,2238,2400
2025-08-29,2030,2400
2025-08-30,2336,2400
2025-08-31,2410,2400
2025-09-01,2500,2400
2025-09-02,1950,2400
2025-09-03,2166,2400
2025-09-04,2791,2400
2025-09-05,2341,2400
2025-09-06,2432,2400
2025-09-07,2758,2400
2025-09-08,2372,2400
2025-09-09,2475,2400
2025-09-10,2136,2400
2025-09-11,2752,2400
2025-09-12,2100,2400
2025-09-13,2636,2400
2025-09-14,2043,2400
2025-09-15,2503,2400
2025-09-16,2807,2400
2025-09-17,2402,2400
2025-09-18,2444,2400
2025-09-19,2614,2400
2025-09-20,2026,2400
2025-09-21,2021,2400
2025-09-22,2150,2400
2025-09-23,2788,2400
2025-09-24,2656,2400
2025-09-25,2183,2400
2025-09-26,2107,2400
2025-09-27,2753,2400
2025-09-28,2287,2400
2025-09-29,2429,2400
2025-09-30,2006,2400
2025-10-01,2225,2400
2025-10-02,2196,2400
2025-10-03,2713,2400
2025-10-04,2784,2400
2025-10-05,2507,2400
2025-10-06,2000,2400
2025-10-07,2832,2400
2025-10-08,2769,2400
2025-10-09,2667,2400
2025-10-10,2273,2400
2025-10-11,2456,2400
2025-10-12,2386,2400
2025-10-13,2843,2400
2025-10-14,2011,2400
2025-10-15,2660,2400
2025-10-16,2666,2400
2025-10-17,2621,2400
2025-10-18,2609,2400
2025-10-19,2470,2400
2025-10-20,2391,2400
2025-10-21,2813,2400
2025-10-22,2104,2400
2025-10-23,2209,2400
2025-10-24,2243,2400
2025-10-25,2666,2400
2025-10-26,2342,2400
2025-10-27,2775,2400
2025-10-28,2608,2400
2025-10-29,2263,2400
2025-10-30,2611,2400
2025-10-31,2163,2400
2025-11-01,2785,2400
2025-11-02,2808,2400
2025-11-03,2061,2400
2025-11-04,2431,2400
2025-11-05,2344,2400
2025-11-06,2527,2400
2025-11-07,2010,2400
2025-11-08,2848,2400
2025-11-09,2406,2400
2025-11-10,2365,2400
2025-11-11,2415,2400
2025-11-12,2546,2400
2025-11-13,2671,2400
2025-11-14,2195,2400
2025-11-15,2036,2400
2025-11-16,2514,2400
2025-11-17,2703,2400
2025-11-18,2012,2400
2025-11-19,2395,2400
2025-11-20,2345,2400
2025-11-21,2170,2400
2025-11-22,2803,2400
2025-11-23,2450,2400
2025-11-24,2670,2400
2025-11-25,2245,2400
2025-11-26,2559,2400
2025-11-27,2238,2400
2025-11-28,2143,2400
2025-11-29,1980,2400
2025-11-30,2419,2400
2025-12-01,2228,2400
2025-12-02,2261,2400
2025-12-03,2843,2400
2025-12-04,2639,2400
2025-12-05,2609,2400
2025-12-06,1960,2400
2025-12-07,2209,2400
2025-12-08,2242,2400
2025-12-09,2281,2400
2025-12-10,2087,2400
2025-12-11,2520,2400
2025-12-12,2519,2400
2025-12-13,2412,2400
2025-12-14,2179,2400
2025-12-15,2135,2400
2025-12-16,2615,2400
2025-12-17,1999,2400
2025-12-18,2417,2400
2025-12-19,2164,2400
2025-12-20,2427,2400
2025-12-21,2730,2400
2025-12-22,2283,2400
2025-12-23,2355,2400
2025-12-24,2599,2400
2025-12-25,2210,2400
2025-12-26,2047,2400
2025-12-27,2101,2400
2025-12-28,2834,2400
2025-12-29,2025,2400
2025-12-30,2486,2400
2025-12-31,2065,2400
2026-01-01,2082,2400
2026-01-02,1986,2400
2026-01-03,2393,2400
2026-01-04,2661,2400
2026-01-05,2501,2400
2026-01-06,2818,2400
2026-01-07,2287,2400
2026-01-08,2811,2400
2026-01-09,2031,2400
2026-01-10,2593,2400
2026-01-11,2271,2400
2026-01-12,2629,2400
2026-01-13,2290,2400
2026-01-14,2802,2400
2026-01-15,2802,2400
2026-01-16,2429,2400
2026-01-17,2315,2400
2026-01-18,2780,2400
2026-01-19,2383,2400
2026-01-20,2790,2400
2026-01-21,2692,2400
2026-01-22,2847,2400
2026-01-23,2535,2400
2026-01-24,2369,2400
