date,hours
2025-07-28,0.47
2025-07-29,1.08
2025-07-30,0.85
2025-07-31,0.59
2025-08-01,0.99
2025-08-02,0.63
2025-08-03,0.81
2025-08-04,0.83
2025-08-05,0.85
2025-08-06,0.7
2025-08-07,0.64
2025-08-08,1.18
2025-08-09,1.19
2025-08-10,0.74
2025-08-11,0.76
2025-08-12,0.0
2025-08-13,0.81
2025-08-14,1.39
2025-08-15,1.21
2025-08-16,0.57
2025-08-17,0.86
2025-08-18,0.88
2025-08-19,0.79
2025-08-20,1.09
2025-08-21,0.22
2025-08-22,0.0
2025-08-23,0.47
2025-08-24,0.38
2025-08-25,0.48
2025-08-26,1.85
2025-08-27,1.28
2025-08-28,0.0
2025-08-29,1.64
2025-08-30,1.2
2025-08-31,0.83
2025-09-01,0.44
2025-09-02,1.2
2025-09-03,1.1
2025-09-04,0.27
2025-09-05,0.47
2025-09-06,0.05
2025-09-07,1.25
2025-09-08,0.34
2025-09-09,0.05
2025-09-10,0.0
2025-09-11,0.91
2025-09-12,0.82
2025-09-13,0.81
2025-09-14,1.05
2025-09-15,0.66
2025-09-16,0.79
2025-09-17,1.03
2025-09-18,1.03
2025-09-19,0.28
2025-09-20,1.23
2025-09-21,0.0
2025-09-22,1.11
2025-09-23,0.0
2025-09-24,0.45
2025-09-25,0.42
2025-09-26,1.51
2025-09-27,0.05
2025-09-28,0.55
2025-09-29,0.41
2025-09-30,0.71
2025-10-01,1.49
2025-10-02,1.31
2025-10-03,0.78
2025-10-04,0.79
2025-10-05,0.46
2025-10-06,0.48
2025-10-07,0.57
2025-10-08,0.71
2025-10-09,0.86
2025-10-10,1.36
2025-10-11,0.11
2025-10-12,0.28
2025-10-13,0.11
2025-10-14,1.05
2025-10-15,1.05
2025-10-16,0.31
2025-10-17,1.45
2025-10-18,0.8
2025-10-19,0.85
2025-10-20,0.29
2025-10-21,0.0
2025-10-22,0.45
2025-10-23,1.22
2025-10-24,0.44
2025-10-25,0.48
2025-10-26,0.69
2025-10-27,0.64
2025-10-28,0.95
2025-10-29,0.24
2025-10-30,0.07
2025-10-31,0.34
2025-11-01,1.17
2025-11-02,0.41
2025-11-03,1.49
2025-11-04,0.44
2025-11-05,0.94
2025-11-06,0.19
2025-11-07,0.98
2025-11-08,1.0
2025-11-09,0.5
2025-11-10,0.9
2025-11-11,1.51
2025-11-12,1.27
2025-11-13,0.98
2025-11-14,0.02
2025-11-15,0.59
2025-11-16,0.95
2025-11-17,0.63
2025-11-18,1.07
2025-11-19,0.21
2025-11-20,1.54
2025-11-21,0.77
2025-11-22,0.63
2025-11-23,1.17
2025-11-24,1.3
2025-11-25,0.93
2025-11-26,0.86
2025-11-27,0.36
2025-11-28,0.79
2025-11-29,0.79
2025-11-30,0.63
2025-12-01,1.52
2025-12-02,0.61
2025-12-03,0.51
2025-12-04,1.28
2025-12-05,0.75
2025-12-06,1.43
2025-12-07,1.1
2025-12-08,0.62
2025-12-09,0.59
2025-12-10,0.42
2025-12-11,0.98
2025-12-12,1.03
2025-12-13,0.39
2025-12-14,0.24
2025-12-15,0.1
2025-12-16,0.35
2025-12-17,0.85
2025-12-18,0.74
2025-12-19,0.78
2025-12-20,0.8
2025-12-21,1.69
2025-12-22,0.76
2025-12-23,1.08
2025-12-24,0.09
2025-12-25,0.76
2025-12-26,0.81
2025-12-27,0.21
2025-12-28,1.01
2025-12-29,1.21
2025-12-30,1.41
2025-12-31,0.56
2026-01-01,1.24
2026-01-02,1.03
2026-01-03,0.3
2026-01-04,0.94
2026-01-05,0.71
2026-01-06,1.26
2026-01-07,1.79
2026-01-08,1.13
2026-01-09,1.2
2026-01-10,1.02
2026-01-11,1.48
2026-01-12,1.2
2026-01-13,0.98
2026-01-14,1.19
2026-01-15,1.1
2026-01-16,0.67
2026-01-17,1.13
2026-01-18,0.4
2026-01-19,0.8
2026-01-20,0.0
2026-01-21,1.39
2026-01-22,0.71
2026-01-23,1.32
2026-01-24,1.44
