date,value
2025-07-28,15144
2025-07-29,15140
2025-07-30,15245
2025-07-31,15420
2025-08-01,15504
2025-08-02,15468
2025-08-03,15461
2025-08-04,15630
2025-08-05,15585
2025-08-06,15647
2025-08-07,15576
2025-08-08,15636
2025-08-09,15664
2025-08-10,15749
2025-08-11,15870
2025-08-12,16026
2025-08-13,16062
2025-08-14,16158
2025-08-15,16193
2025-08-16,16345
2025-08-17,16430
2025-08-18,16398
2025-08-19,16544
2025-08-20,16654
2025-08-21,16629
2025-08-22,16629
2025-08-23,16796
2025-08-24,16837
2025-08-25,16875
2025-08-26,16918
2025-08-27,16991
2025-08-28,17010
2025-08-29,17129
2025-08-30,17296
2025-08-31,17443
2025-09-01,17452
2025-09-02,17392
2025-09-03,17441
2025-09-04,17361
2025-09-05,17341
2025-09-06,17376
2025-09-07,17372
2025-09-08,17325
2025-09-09,17455
2025-09-10,17538
2025-09-11,17644
2025-09-12,17685
2025-09-13,17617
2025-09-14,17771
2025-09-15,17949
2025-09-16,18042
2025-09-17,18112
2025-09-18,18254
2025-09-19,18201
2025-09-20,18324
2025-09-21,18259
2025-09-22,18307
2025-09-23,18465
2025-09-24,18591
2025-09-25,18661
2025-09-26,18765
2025-09-27,18914
2025-09-28,18854
2025-09-29,19028
2025-09-30,19090
2025-10-01,19034
2025-10-02,19005
2025-10-03,18932
2025-10-04,18938
2025-10-05,18915
2025-10-06,18898
2025-10-07,18955
2025-10-08,19046
2025-10-09,19074
2025-10-10,19075
2025-10-11,19253
2025-10-12,19433
2025-10-13,19562
2025-10-14,19488
2025-10-15,19491
2025-10-16,19665
2025-10-17,19620
2025-10-18,19564
2025-10-19,19526
2025-10-20,19507
2025-10-21,19626
2025-10-22,19616
2025-10-23,19688
2025-10-24,19827
2025-10-25,19862
2025-10-26,19911
2025-10-27,20042
2025-10-28,20079
2025-10-29,20190
2025-10-30,20211
2025-10-31,20360
2025-11-01,20465
2025-11-02,20451
2025-11-03,20376
2025-11-04,20552
2025-11-05,20491
2025-11-06,20656
2025-11-07,20669
2025-11-08,20792
2025-11-09,20905
2025-11-10,20841
2025-11-11,20894
2025-11-12,21074
2025-11-13,21122
2025-11-14,21292
2025-11-15,21272
2025-11-16,21291
2025-11-17,21466
2025-11-18,21591
2025-11-19,21714
2025-11-20,21877
2025-11-21,21950
2025-11-22,22005
2025-11-23,22011
2025-11-24,22011
2025-11-25,22156
2025-11-26,22234
2025-11-27,22407
2025-11-28,22476
2025-11-29,22463
2025-11-30,22595
2025-12-01,22550
2025-12-02,22513
2025-12-03,22588
2025-12-04,22664
2025-12-05,22768
2025-12-06,22755
2025-12-07,22847
2025-12-08,22789
2025-12-09,22875
2025-12-10,22954
2025-12-11,23003
2025-12-12,23168
2025-12-13,23289
2025-12-14,23213
2025-12-15,23224
2025-12-16,23298
2025-12-17,23457
2025-12-18,23623
2025-12-19,23801
2025-12-20,23966
2025-12-21,24118
2025-12-22,24232
2025-12-23,24380
2025-12-24,24346
2025-12-25,24345
2025-12-26,24410
2025-12-27,24334
2025-12-28,24333
2025-12-29,24258
2025-12-30,24279
2025-12-31,24417
2026-01-01,24438
2026-01-02,24439
2026-01-03,24453
2026-01-04,24387
2026-01-05,24528
2026-01-06,24523
2026-01-07,24613
2026-01-08,24736
2026-01-09,24815
2026-01-10,24835
2026-01-11,24980
2026-01-12,24953
2026-01-13,25080
2026-01-14,25259
2026-01-15,25382
2026-01-16,25555
2026-01-17,25513
2026-01-18,25552
2026-01-19,25540
2026-01-20,25691
2026-01-21,25659
2026-01-22,25734
2026-01-23,25871
2026-01-24,1000000000
