date,weight
2025-07-28,185.2
2025-07-29,185.1
2025-07-30,185.0
2025-07-31,184.7
2025-08-01,184.8
2025-08-02,185.0
2025-08-03,185.0
2025-08-04,185.0
2025-08-05,184.9
2025-08-06,184.9
2025-08-07,185.0
2025-08-08,184.9
2025-08-09,184.7
2025-08-10,184.6
2025-08-11,184.5
2025-08-12,184.3
2025-08-13,184.5
2025-08-14,184.5
2025-08-15,184.7
2025-08-16,184.9
2025-08-17,184.7
2025-08-18,184.7
2025-08-19,184.7
2025-08-20,184.7
2025-08-21,184.8
2025-08-22,184.5
2025-08-23,184.3
2025-08-24,184.2
2025-08-25,184.1
2025-08-26,184.4
2025-08-27,184.6
2025-08-28,184.6
2025-08-29,184.3
2025-08-30,184.3
2025-08-31,184.5
2025-09-01,184.4
2025-09-02,184.3
2025-09-03,184.3
2025-09-04,184.2
2025-09-05,184.3
2025-09-06,184.3
2025-09-07,184.3
2025-09-08,184.2
2025-09-09,184.1
2025-09-10,184.3
2025-09-11,184.4
2025-09-12,184.3
2025-09-13,184.4
2025-09-14,184.5
2025-09-15,184.5
2025-09-16,184.6
2025-09-17,184.5
2025-09-18,184.5
2025-09-19,184.6
2025-09-20,184.8
2025-09-21,184.6
2025-09-22,184.8
2025-09-23,185.0
2025-09-24,185.1
2025-09-25,185.3
2025-09-26,185.5
2025-09-27,185.4
2025-09-28,185.2
2025-09-29,185.3
2025-09-30,185.1
2025-10-01,185.1
2025-10-02,185.1
2025-10-03,184.8
2025-10-04,184.7
2025-10-05,184.8
2025-10-06,184.5
2025-10-07,184.3
2025-10-08,184.1
2025-10-09,183.9
2025-10-10,183.7
2025-10-11,183.6
2025-10-12,183.8
2025-10-13,183.8
2025-10-14,183.8
2025-10-15,183.9
2025-10-16,183.9
2025-10-17,184.2
2025-10-18,183.9
2025-10-19,183.6
2025-10-20,183.8
2025-10-21,183.8
2025-10-22,183.8
2025-10-23,184.1
2025-10-24,184.3
2025-10-25,184.4
2025-10-26,184.4
2025-10-27,184.2
2025-10-28,184.4
2025-10-29,184.2
2025-10-30,184.4
2025-10-31,184.6
2025-11-01,184.7
2025-11-02,184.5
2025-11-03,184.3
2025-11-04,184.2
2025-11-05,184.3
2025-11-06,184.4
2025-11-07,184.2
2025-11-08,184.5
2025-11-09,184.3
2025-11-10,184.4
2025-11-11,184.5
2025-11-12,184.6
2025-11-13,184.9
2025-11-14,184.6
2025-11-15,184.5
2025-11-16,184.8
2025-11-17,185.0
2025-11-18,185.2
2025-11-19,185.0
2025-11-20,185.2
2025-11-21,185.0
2025-11-22,184.9
2025-11-23,184.7
2025-11-24,184.4
2025-11-25,184.3
2025-11-26,184.4
2025-11-27,184.4
2025-11-28,184.4
2025-11-29,184.2
2025-11-30,184.0
2025-12-01,183.8
2025-12-02,183.9
2025-12-03,184.0
2025-12-04,184.1
2025-12-05,184.2
2025-12-06,184.1
2025-12-07,183.9
2025-12-08,183.8
2025-12-09,183.5
2025-12-10,183.4
2025-12-11,183.5
2025-12-12,183.4
2025-12-13,183.7
2025-12-14,183.9
2025-12-15,183.8
2025-12-16,184.0
2025-12-17,184.0
2025-12-18,184.2
2025-12-19,184.1
2025-12-20,184.0
2025-12-21,183.9
2025-12-22,183.8
2025-12-23,183.7
2025-12-24,183.9
2025-12-25,183.9
2025-12-26,183.9
2025-12-27,183.7
2025-12-28,184.0
2025-12-29,183.8
2025-12-30,183.7
2025-12-31,183.7
2026-01-01,183.4
2026-01-02,183.5
2026-01-03,183.8
2026-01-04,184.0
2026-01-05,184.0
2026-01-06,183.9
2026-01-07,183.6
2026-01-08,183.3
2026-01-09,183.3
2026-01-10,183.3
2026-01-11,183.6
2026-01-12,183.7
2026-01-13,183.5
2026-01-14,183.6
2026-01-15,183.5
2026-01-16,183.3
2026-01-17,183.5
2026-01-18,183.6
2026-01-19,183.8
2026-01-20,183.7
2026-01-21,183.8
2026-01-22,184.0
2026-01-23,184.3
2026-01-24,184.0
